Chloraphylla ugL,DO mg,DO Sat,EC mScm,pH,Temp degC,Turbidity NTU
24.46327161,6.6609375,94.3765625,28.96,8.057395834,29.495,8.0453125
24.49495885,6.6621875,94.41197917,30.085,8.058368056,29.42,8.0390625
24.52664609,6.6634375,94.44739584,31.485,8.059340278,29.36,8.0328125
24.55833333,6.6646875,94.4828125,33.44,8.0603125,29.16,8.0265625
24.59002058,6.6659375,94.51822917,33.66,8.061284723,29.105,8.0203125
24.62170782,6.6671875,94.55364584,34.01,8.062256945,28.84,8.0140625
24.65339506,6.6684375,94.5890625,33.625,8.063229167,28.885,8.0078125
24.68508231,6.6696875,94.62447917,32.99,8.064201389,28.845,8.0015625
24.71676955,6.6709375,94.65989584,32.575,8.065173612,28.735,7.9953125
24.74845679,6.6721875,94.6953125,31.49,8.066145834,28.5,7.9890625
24.78014403,6.6734375,94.73072917,30.195,8.067118056,28.43,7.9828125
24.81183128,6.6746875,94.76614584,29.66,8.068090278,28.47,7.9765625
24.84351852,6.6759375,94.8015625,30.625,8.0690625,28.795,7.9703125
24.87520576,6.6771875,94.83697917,31.73,8.070034723,29.095,7.9640625
24.906893,6.6784375,94.87239584,32.885,8.071006945,29.4,7.9578125
24.93858025,6.6796875,94.9078125,34.56,8.071979167,29.205,7.9515625
24.97026749,6.6809375,94.94322917,35.095,8.072951389,29.035,7.9453125
25.00195473,6.6821875,94.97864584,35.075,8.073923612,29.095,7.9390625
25.03364198,6.6834375,95.0140625,34.64,8.074895834,29.02,7.9328125
25.06532922,6.6846875,95.04947917,34.09,8.075868056,29.02,7.9265625
25.09701646,6.6859375,95.08489584,33.72,8.076840278,28.965,7.9203125
25.1287037,6.6871875,95.1203125,32.595,8.0778125,28.77,7.9140625
25.16039095,6.6884375,95.15572917,31.25,8.078784723,28.605,7.9078125
25.19207819,6.6896875,95.19114584,30.115,8.079756945,28.33,7.9015625
24.1,6.65,94.4,29.935,8.065,28.15,7.05
19.1,6.55,92.8,30.015,8.07,28.03,6.55
20.75,6.31,89.95,31.08,8.045,28.16,7.85
19.25,6.34,90.8,32.2,8.065,28.135,6.4
20.45,6.08,87.3,33.37,8.05,28.095,6.3
20.8,6.055,87.25,34.16,8.06,28.065,5.25
19.85,5.95,85.9,35.135,8.06,28.025,5.75
19.5,5.93,85.5,34.89,8.055,27.97,6.3
18.95,5.915,85.25,34.35,8.055,28.07,7.1
19.3,5.91,84.95,33.9,8.045,28,6.95
18.35,5.965,85.25,33.02,8.05,27.82,6.4
17.75,6.2,88.4,32.255,8.05,27.93,5.65
16.5,6.525,93.35,31.79,8.05,28.18,5.45
16.75,6.84,98.65,32.24,8.09,28.575,5.7
17.55,6.935,100.7,32.935,8.1,28.82,6.95
18.7,6.865,99.9,34.145,8.11,28.66,6.4
19.1,7.015,102.55,34.74,8.135,28.85,7.05
21.05,7.395,108.4,35.115,8.17,28.875,5.5
21.1,7.545,110.6,35.36,8.19,28.835,5.9
21.2,7.25,106.15,35.545,8.155,28.73,6.45
21,7.06,103.05,35.34,8.14,28.605,8.35
22.3,6.855,99.7,35.04,8.125,28.445,9.8
22.75,6.855,99.4,34.685,8.125,28.345,11.1
22.35,6.91,99.2,33.035,8.115,28.125,8.55
22.95,6.9,98.2,31.635,8.11,27.93,8.2
24,6.705,94.95,31.13,8.085,27.76,6.8
23.3,6.61,93.95,31.965,8.09,27.77,8.7
21.6,6.285,89.45,32.73,8.055,27.68,8.1
21.75,6.445,91.5,33.355,8.09,27.435,6.55
20.9,6.125,88.15,35.685,8.075,27.64,7.25
20.95,6.065,87.05,35.73,8.07,27.495,6.6
20.7,5.98,85.9,36.215,8.07,27.46,6.35
20.4,5.96,85.6,36.175,8.07,27.43,7.75
20.55,5.95,85.5,35.74,8.07,27.525,9.2
21.75,6.1,87.5,35.26,8.09,27.575,8.1
19.9,6.415,91.6,34.165,8.095,27.545,7.4
19.25,6.775,96.7,32.96,8.1,27.785,7.6
17.8,7.175,102.8,32.045,8.115,28.19,6.25
19.3,7.515,108,32.46,8.15,28.3,6
19.45,7.52,108.75,32.98,8.135,28.54,7.9
21,7.745,111.85,33.865,8.185,28.335,7.1
22.5,7.44,107.55,34.645,8.16,28.155,7.65
24.5,7.575,109.8,35.27,8.18,28.185,6.75
24.6,7.705,111.7,35.505,8.195,28.125,5.85
22.85,7.44,107.6,35.98,8.185,27.9,6.2
22.35,6.91,99.8,36.42,8.145,27.715,8.65
22.55,6.64,95.65,36.13,8.125,27.62,10.1
23.4,6.765,96.75,35.135,8.13,27.465,9.35
23.05,6.835,96.95,33.49,8.125,27.315,9.15
21.55,6.76,95.3,32.28,8.095,27.185,9.45
21.85,6.725,93.9,31.325,8.08,26.91,6.8
22.45,6.575,92.3,32.065,8.08,27,8.35
22.55,6.385,90.4,33.74,8.065,27.165,9.75
22.85,6.33,89.2,33.825,8.08,26.845,7.8
21.3,6.14,87.5,36.05,8.085,27.03,7.65
20.7,5.995,85.85,37.125,8.09,27.045,7.5
20.4,5.97,85.6,37.335,8.09,27.055,6.9
20.85,5.955,85.2,37.22,8.085,26.99,8.35
21.15,6.03,86.45,36.87,8.095,27.13,10.1
21.2,6.225,89.45,36.505,8.11,27.375,9.65
21.85,6.645,95.35,35.635,8.125,27.51,9.1
18.8,7.04,101.1,34.385,8.13,27.83,8.2
17.6,7.52,108.25,33.19,8.15,28.265,7.45
18.45,7.86,113.7,33.17,8.19,28.555,7
18.45,8.01,117.05,33.89,8.18,28.98,9.35
21,8.055,117.7,35.135,8.2,28.7,10.45
22.55,7.945,116.25,35.87,8.195,28.615,9.65
22.6,7.62,111,35.93,8.17,28.32,10.15
22.65,7.85,114.95,36.885,8.18,28.385,7.85
22.5,7.54,109.6,36.79,8.17,27.99,7.15
21.4,7.265,105.4,37.025,8.16,27.85,8.25
21,6.795,98.3,36.895,8.13,27.67,10
21.85,6.79,97.45,35.635,8.12,27.535,11.15
21.95,6.77,96.5,34.235,8.095,27.435,10.65
21.1,6.845,97.1,32.975,8.07,27.395,9.7
21.05,6.78,95.35,32.145,8.07,27.14,8.35
20.85,6.71,94.4,32.34,8.085,27.095,8.2
21.85,6.42,91.05,33.715,8.06,27.23,11.25
20.95,6.42,90.95,34.405,8.075,26.985,7.85
21.05,6.095,87.35,36.72,8.065,27.165,8.65
20.1,5.88,84.65,37.88,8.07,27.205,9.65
20.7,5.98,86.35,38.395,8.095,27.23,8.35
20.15,6.065,87.85,38.385,8.09,27.39,10.7
20.25,6.21,90.05,37.815,8.085,27.57,11.8
21.6,6.345,92.15,37.415,8.09,27.815,12.65
21.65,6.715,97.6,36.505,8.115,28.05,11.7
18.85,7.14,104.15,35.305,8.12,28.6,10.05
17.2,7.56,110.85,33.895,8.13,29.145,9.05
18.1,7.86,115.55,33.56,8.16,29.45,9
17.9,8.105,119.75,34.33,8.185,29.56,8.45
19.85,8.095,119.9,35.485,8.18,29.415,10.55
21.65,7.985,118.15,36.68,8.18,29.075,9.9
21.1,7.34,107.65,36.615,8.135,28.57,12.4
20.5,7.525,110.55,37.585,8.16,28.44,7.9
19.7,7.13,104.4,37.85,8.135,28.175,7.7
19.15,6.885,100.65,38.155,8.13,28.035,9.05
20.1,6.71,97.8,37.67,8.125,27.94,12.35
20.1,6.68,96.6,36.33,8.105,27.785,11.8
20.05,6.56,94.4,35.3,8.08,27.735,11
19.35,6.535,93.6,34.225,8.05,27.735,10.65
18.55,6.445,91.95,33.39,8.035,27.665,9.05
18.95,6.36,90.55,33.81,8.05,27.485,8.95
19.8,6.29,90.1,34.89,8.05,27.56,9.75
19.1,6.27,89.85,35.98,8.065,27.37,8.6
19.2,5.98,86.55,37.96,8.07,27.47,10.3
19.2,5.93,86.3,38.81,8.065,27.59,10.6
19.05,6.045,88.45,39.62,8.08,27.735,9.95
18.85,6.17,90.4,39.275,8.09,27.91,13.35
19.3,6.205,91,38.79,8.085,28.055,14.9
19.55,6.4,94.1,38.19,8.09,28.355,14.3
19.6,6.585,96.85,37.295,8.09,28.58,14.85
19,6.785,99.85,36.405,8.085,28.855,14.25
17.05,7.14,105.5,35.355,8.09,29.33,11.9
16.4,7.39,109.65,34.905,8.11,29.73,9
16.55,7.4,110.4,35.425,8.095,29.925,9.4
18,7.6,113.5,36.475,8.08,29.73,8.95
18.55,7.335,109.2,37.65,8.085,29.22,9.3
17.75,6.64,98.25,38.54,8.04,28.685,11.2
17.2,6.59,97.3,38.83,8.04,28.505,8.75
17.35,6.6,97.55,39.235,8.055,28.44,7.55
17.4,6.33,93.35,39.145,8.035,28.28,11.45
17.3,6.215,91.2,38.43,8.04,28.195,13.35
17.4,6.19,90.2,37.255,8.055,28.045,13.15
17.05,6.07,88.1,36.345,8.03,28.035,12.5
16.6,5.95,86,35.22,7.995,28.01,11.45
16.3,5.855,84.05,34.425,7.98,27.855,9.35
17.05,5.91,85.3,35.29,7.995,27.925,10.7
16.35,5.78,83.65,36.4,8,27.845,10.8
15.95,5.77,83.9,37.735,8.015,27.81,10
16.5,5.66,83,39.685,8.03,27.91,14.05
17.45,5.55,81.9,40.435,8.03,28.045,14.4
16.8,5.635,83.7,40.85,8.04,28.34,13.85
16.95,5.87,87.1,40.01,8.05,28.505,17.4
16.9,5.92,88.05,39.52,8.045,28.705,17.5
16.4,6.125,91.1,38.69,8.045,28.945,15.4
16.8,6.265,93.3,37.87,8.045,29.185,16.3
16.1,6.42,95.65,36.935,8.04,29.465,13.55
15.05,6.56,97.95,36.03,8.03,29.785,11.5
14.5,6.8,101.75,35.855,8.045,29.955,9.5
14.95,6.665,99.85,36.76,8.025,29.87,10.15
14.6,6.735,100.8,37.71,8.06,29.59,9.6
14.9,6.275,93.85,39.155,8.045,29.14,11.25
15.3,5.965,88.95,39.845,8.035,28.81,10.05
14.85,5.935,88.6,40.28,8.035,28.775,9
14.45,5.885,87.6,40.31,8.035,28.625,9.8
14.4,5.835,86.7,39.59,8.03,28.605,11.35
14.8,5.78,85.45,38.805,8.015,28.57,12.25
15.25,5.635,82.9,37.875,7.995,28.49,12.3
14.55,5.5,80.65,36.91,7.965,28.48,11.3
14.35,5.455,79.7,36.09,7.945,28.445,10.2
14,5.445,79.2,35.625,7.925,28.33,8.15
13.85,5.365,78.3,36.42,7.925,28.3,7.9
14.6,5.41,79,37.42,7.945,28.175,7.15
14.2,5.36,79.1,39.475,7.97,28.265,9.75
14.9,5.32,78.95,41.225,7.99,28.225,13.95
14.85,5.31,79.1,41.47,7.99,28.37,9.95
14.4,5.45,81.4,41.435,8,28.54,13.45
15.1,5.66,84.6,40.565,8,28.805,16.45
15.05,5.755,86.1,40.005,8,29.025,15.55
15.2,5.915,88.65,39.02,8,29.345,13.7
15.55,6.015,90.25,38.39,7.995,29.54,12.8
14.75,6.145,92.25,37.785,7.995,29.735,13.7
14.8,6.42,96.35,37.01,7.995,29.92,9.15
14.25,6.41,96.05,37.145,7.995,29.76,9.35
14,6.21,92.9,37.895,7.98,29.5,11
13.6,6.065,90.85,38.69,7.99,29.36,11.75
13.25,5.825,87.3,40.17,8.005,29.03,8.8
13.2,5.665,84.7,40.66,8,28.755,7.15
13.2,5.59,83.5,40.9,8.01,28.705,6.9
13.05,5.595,83.4,40.505,8.01,28.685,8.95
13.7,5.595,83.45,39.795,7.995,28.815,9
13.85,5.515,81.95,39.09,7.98,28.79,10.6
13.65,5.465,80.9,38.235,7.97,28.735,9.65
13.85,5.39,79.45,37.245,7.92,28.7,7.65
13.4,5.3,77.8,36.7,7.895,28.615,6.5
12.95,5.3,77.8,36.915,7.915,28.615,6.6
13.2,5.245,77.1,37.375,7.91,28.59,6
13.65,5.185,76.65,38.55,7.925,28.655,7.85
13.75,5.195,77.25,39.985,7.945,28.65,7.55
13.3,5.085,76,41.38,7.95,28.595,7.6
13.6,5.14,77,41.785,7.96,28.615,6.5
13.55,5.23,78.6,41.515,7.96,28.88,15.45
13.65,5.375,80.8,40.785,7.96,29.13,11.35
14.25,5.555,83.85,40.015,7.955,29.495,10.4
14.65,5.845,88.35,39.275,7.965,29.8,9.6
14.55,5.92,89.3,38.73,7.955,29.76,10.25
14.45,6.095,91.65,38.08,7.955,29.78,8.4
14.8,6.175,92.4,37.45,7.955,29.605,7.2
14.8,6.075,90.95,37.985,7.925,29.545,8.7
13.9,5.835,87.55,38.62,7.925,29.515,10.75
12.85,5.645,84.85,39.67,7.94,29.355,8.4
12.95,5.43,81.6,40.705,7.94,29.135,5.25
12.9,5.28,79.3,40.94,7.935,28.97,5.25
13.05,5.145,77.15,41.175,7.925,28.895,5.95
12.85,5.28,79.15,40.665,7.93,28.98,7.55
13.45,5.285,79.2,40,7.91,29.08,7.65
14.15,5.2,77.65,39.28,7.88,29.09,8.3
14.15,5.205,77.5,38.355,7.88,29.085,8.5
13.95,5.2,77.15,37.54,7.875,29.045,7
14.35,5.205,77.05,37.22,7.86,28.985,6.5
13.8,5.195,76.85,37.505,7.87,28.925,8.2
14.1,5.135,76.35,38.295,7.86,29.015,6.6
14.4,5.005,74.8,39.455,7.88,29.01,8.25
14,4.895,73.45,41.405,7.9,28.83,8.45
13.9,4.89,73.6,41.775,7.89,28.96,5.6
13.55,4.9,73.9,42.18,7.89,28.965,7.7
14.25,5.345,80.9,41.295,7.92,29.37,8.85
14.6,5.555,84.1,40.76,7.925,29.56,8.3
15.15,6.025,91.45,40.055,7.945,29.84,7.5
15.65,6.34,96.25,39.47,7.96,30.02,8.15
15.4,6.52,99.05,38.91,7.945,30.15,8.8
16.25,6.795,103.05,38.355,7.945,30.175,7
16.75,6.895,104.25,38.235,7.965,30.06,6.6
15.85,6.585,99.35,38.63,7.92,29.855,9.2
15.7,6.26,94.65,39.39,7.92,29.765,7.5
15.55,6.03,91.1,40.335,7.92,29.525,6.05
14,5.525,83.5,41.18,7.885,29.36,5.05
13.6,5.395,81.65,41.68,7.875,29.285,5.15
14.7,5.365,81.05,41.56,7.88,29.24,6.5
15.3,5.465,82.4,40.88,7.875,29.275,7.2
15.15,5.53,83.1,40.195,7.87,29.27,7.85
15.45,5.54,83,39.245,7.865,29.205,9.85
17.1,5.785,85.05,36.46,7.925,28.775,10.37
15.75,5.78,83.7,34.815,7.885,28.285,10.65
15.45,5.67,82.95,35.87,7.89,28.58,10.93
15.55,5.63,82.45,36.285,7.885,28.58,9.5
15.95,5.71,83.25,35.485,7.885,28.505,10.4
15.8,5.715,84.8,38.49,7.9,28.905,7.25
15.35,5.555,83.55,40.57,7.91,29.165,7.3
16.1,5.4,81.25,41.48,7.915,29.01,7
15.45,5.815,87.9,41.4,7.95,29.32,6.75
17,6.155,93.3,40.97,7.965,29.575,9.05
17.3,6.51,99.05,40.59,7.97,29.935,8.3
17.8,7.01,106.9,39.98,7.97,30.155,9.1
18.2,7.33,111.8,39.32,7.99,30.29,8.65
17.85,7.39,112.15,38.66,7.98,30.215,9.85
18.55,7.565,114.55,38.16,7.985,30.15,7.35
17.85,7.415,112.05,38.395,7.975,29.965,9.4
17.9,7.085,107.15,38.995,7.96,29.88,9.55
17.5,6.765,102.35,39.65,7.95,29.755,7.9
16.85,6.245,94.35,40.63,7.925,29.44,7.65
16.65,5.965,90,41.01,7.91,29.28,6.45
15.8,5.855,88.35,41.3,7.91,29.165,6.1
16.15,5.9,88.85,41.035,7.905,29.135,8.15
16.75,6.01,90.2,40.255,7.91,29.15,9.65
17.45,6.15,92.15,39.505,7.91,29.2,9.95
18,6.035,89.95,38.49,7.9,29.105,12.8
17.6,5.945,88.15,37.775,7.875,29.005,10.45
16.4,5.835,86.2,37.23,7.855,28.845,8.25
16.75,6.005,88.8,37.52,7.87,28.885,7.3
16.65,6,87.85,35.93,7.895,28.66,13.65
17.4,6.015,88.15,36.23,7.875,28.65,12.4
17.55,6.14,90.65,37.29,7.9,28.795,10.3
17.7,6.265,92.65,37.83,7.91,28.815,8.9
18.6,6.265,93.6,39.585,7.92,28.985,7.85
18.15,6.14,92.35,40.875,7.91,29.12,10
19.15,6.395,96.15,40.505,7.97,29.2,10.5
19.15,6.44,96.75,40.095,7.975,29.245,10.25
19.95,6.75,101.45,39.515,7.99,29.35,10.9
20.75,6.815,102,38.77,7.96,29.3,11.55
19.45,6.78,100.95,38.205,7.915,29.135,12.05
19.7,6.845,101.7,38.065,7.93,29,8.05
18.75,6.52,96.35,37.67,7.895,28.8,11.05
18.75,6.52,97.1,38.785,7.905,28.965,10.8
17.85,6.255,93.45,39.99,7.905,28.95,8.4
17.25,5.91,88.4,40.58,7.895,28.825,6.75
16.65,5.75,86.05,40.84,7.88,28.83,6.5
16.5,5.78,86.25,40.695,7.885,28.68,6.3
16.25,5.77,86,40.535,7.88,28.68,7.75
17.25,5.805,86.45,40.08,7.88,28.715,8.3
17.3,5.8,86,39.33,7.865,28.615,8.9
17.9,5.735,84.7,38.665,7.85,28.535,9.55
16.8,5.625,82.7,38.05,7.83,28.41,7.65
16.55,5.755,84.4,37.795,7.84,28.315,5.7
16.9,5.74,84.5,38.225,7.845,28.445,5.8
17.1,5.94,87.5,38.31,7.87,28.445,5.95
16.65,6.165,91.35,39.07,7.895,28.63,6
17.5,6.285,93.5,39.495,7.91,28.775,6.2
17.55,6.405,95.65,40.09,7.925,28.88,6.05
16.75,6.165,92.3,40.93,7.935,28.815,7.25
16.45,6.36,95.4,40.87,7.965,28.945,9.2
17.55,6.44,96.65,40.555,7.97,29.07,10.85
17.9,6.725,100.9,40.035,8.015,29.125,10.35
18.3,6.95,104.05,39.295,8.04,29.18,9.2
18.05,6.965,103.75,38.53,8.04,29.095,8.55
17.2,6.88,102.05,37.98,8.03,28.935,6.85
16.75,6.75,100,38.165,8.015,28.825,7.2
16.2,6.595,97.15,37.46,7.975,28.625,7.2
15.45,6.52,96.4,38.555,7.99,28.635,5.95
14.4,6.425,95.45,39.58,8.005,28.675,5.4
14.65,6.095,90.4,39.7,7.98,28.515,5.4
15.15,5.92,88.3,40.63,7.97,28.62,5.1
15.3,5.885,87.7,40.79,7.98,28.605,5.6
14.9,5.885,87.7,40.41,7.965,28.63,6.35
16.15,5.93,88.25,39.945,7.96,28.655,6.7
16.1,5.78,85.65,39.41,7.935,28.545,7.2
15.8,5.755,84.95,38.825,7.92,28.46,7.15
15.65,5.79,85.25,38.505,7.915,28.43,5.75
15.9,5.95,87.75,38.49,7.935,28.5,4.95
15.4,6.085,90.15,38.94,7.935,28.655,4.55
15.65,6.35,94.45,39.295,7.955,28.805,4.3
16.45,6.57,98.3,39.79,7.985,29.06,4.25
15.25,6.84,103.2,39.99,8.01,29.52,3.75
15.05,7.17,109.05,40.165,8.035,29.955,3.85
15.95,7.14,108.6,40.925,8.035,29.81,5
17,7.21,109.55,40.835,8.045,29.745,6.7
16.5,7.16,108.6,40.54,8.05,29.695,6.55
16.3,7.265,110.05,40.155,8.055,29.735,6.5
16.25,7.26,109.6,39.51,8.06,29.66,6.65
15.7,7.115,106.95,38.865,8.045,29.555,6.1
14.8,6.945,103.85,38.39,8.035,29.32,7.175
1.4,5.54,82.15,40.225,7.715,28.405,11
1.8,5.61,83.05,39.31,7.71,28.545,10.65
2.4,5.79,85.55,38.375,7.72,28.625,9.3
2.8,5.895,87.1,37.975,7.71,28.675,10.15
3.2,6.02,88.95,37.46,7.73,28.83,9.2
5.1,6.11,90.2,37.11,7.74,28.84,8.55
4.95,5.98,87.75,36.725,7.705,28.61,8.7
3.75,5.65,83.3,38.345,7.705,28.475,8.15
2.3,5.33,78.85,40.005,7.705,28.295,9.55
1.8,5.185,76.8,40.885,7.71,28.15,8.05
2.1,5.15,76.2,41.09,7.715,28.085,7.5
2.05,5.19,76.7,41.09,7.72,27.95,7.6
1.55,5.15,75.8,40.71,7.705,27.83,8.4
1.7,5.125,75,40.03,7.685,27.68,8.75
1.95,5.175,75.3,39.075,7.67,27.565,8.55
2.25,5.215,75.65,38.26,7.655,27.515,7.8
1.5,5.29,76.4,37.63,7.64,27.43,6.35
1.75,5.36,77.15,37.32,7.645,27.34,5.25
2,5.26,75.85,37.685,7.64,27.34,6.35
2.65,5.105,74,38.365,7.63,27.42,6.45
1.6,5,72.95,39.45,7.645,27.595,9.55
1.3,4.92,72.15,40.695,7.665,27.665,12.05
1.2,4.91,72.2,40.67,7.66,27.74,10.05
1.8,4.94,72.85,40.7,7.66,27.935,9.5
1.8,4.98,73.6,40.41,7.66,28.085,10.9
1.2,5.03,74.4,40.095,7.655,28.285,9
2.1,5.245,77.7,39.245,7.665,28.515,7.95
3.4,5.55,82.05,38.37,7.68,28.68,8.3
3.95,6.005,88.7,37.555,7.705,28.81,7
5.75,6.47,95.35,36.935,7.755,28.82,6.05
7.15,6.42,94.5,37.16,7.745,28.68,6.2
5.65,6.02,88.55,37.815,7.705,28.485,5.65
4.2,5.41,79.75,39.215,7.67,28.285,7.65
2.05,4.98,73.65,40.645,7.66,28.1,9.45
2.65,4.95,73.05,40.785,7.66,28.025,7.25
1.95,4.905,72.4,40.8,7.655,28,7.8
2.1,4.975,73.25,40.4,7.65,27.94,8.45
2.4,4.995,73.5,39.94,7.64,27.93,7.75
2.1,5.025,73.65,39.135,7.63,27.9,8.1
1.5,5.06,73.85,38.4,7.615,27.835,7.35
1.95,5.15,74.8,37.735,7.61,27.765,6.9
1.9,5.3,76.6,37.055,7.61,27.58,5.1
2.35,5.3,76.55,37.105,7.615,27.555,4.9
2.25,5.14,74.4,37.74,7.595,27.56,5.9
2.35,4.925,71.85,38.74,7.59,27.775,6.6
1.85,4.755,69.9,40.19,7.605,27.895,10.25
1.65,4.675,69.05,40.765,7.62,27.98,8.55
1.6,4.675,68.95,40.895,7.62,27.945,8.9
1.8,4.83,71.4,40.51,7.625,28.185,9.75
1.75,4.89,72.4,40.14,7.62,28.29,8.55
2.65,5.06,74.9,39.525,7.625,28.42,8.1
3.4,5.37,79.35,38.665,7.635,28.58,8.15
4.7,5.645,83.15,37.91,7.645,28.535,9.8
5.95,6.17,90.6,37.07,7.69,28.545,6.1
6.7,6.32,92.65,37.095,7.71,28.47,6.25
7,6.06,88.8,37.745,7.68,28.295,6
5.25,5.495,80.8,38.75,7.64,28.28,8.45
3.35,5.015,74,40.47,7.625,28.065,10.95
3.4,4.92,72.6,41.01,7.63,27.935,8.9
2.55,4.855,71.75,41.14,7.63,27.91,6.95
2.7,4.895,72.1,40.885,7.63,27.875,8.85
2.35,4.98,73.1,40.24,7.62,27.83,7.8
2.35,5,73.25,39.605,7.61,27.815,7.75
2.2,5.05,73.75,38.77,7.6,27.77,7.3
2.4,5.08,73.8,38.02,7.585,27.665,7.6
2.45,5.15,74.5,37.43,7.565,27.565,6.65
2.35,5.24,75.55,37.15,7.575,27.43,5.2
1.75,5.17,74.6,37.455,7.57,27.385,5.35
1.7,5.04,73,38.075,7.56,27.52,5.9
2.15,4.925,71.95,39.135,7.58,27.72,5.65
1.95,4.935,72.55,39.965,7.61,27.95,6.3
2.2,4.815,71.15,40.56,7.61,28.085,7.9
1.9,4.86,71.9,40.91,7.63,28.095,10.95
1.65,5.065,74.9,40.295,7.63,28.26,8.6
2.2,5.13,76.05,39.83,7.625,28.45,7.6
2.7,5.405,80.05,38.96,7.635,28.68,8.3
3.85,5.67,83.85,38.125,7.645,28.745,9.3
4.95,6.165,90.85,37.275,7.685,28.725,7
5.95,6.405,94,36.905,7.715,28.59,5.2
5.95,6.205,90.95,37.335,7.665,28.385,6.7
5.85,5.88,86.3,38.02,7.645,28.3,6.35
4.3,5.415,79.6,39.19,7.625,28.155,7.45
2.85,5.13,75.35,40.03,7.62,27.895,6.35
3.5,5.035,74.1,40.695,7.635,27.81,6
2.35,4.995,73.55,41.11,7.64,27.765,6.15
2.5,5.07,74.35,40.49,7.625,27.67,6.95
2.9,5.045,73.85,40.09,7.61,27.645,6.8
1.95,5.08,74.1,39.36,7.6,27.585,7.25
2.45,5.115,74.3,38.63,7.59,27.495,7.3
2.25,5.15,74.45,37.96,7.59,27.41,6.7
2.45,5.245,75.5,37.44,7.565,27.27,5.4
2.1,5.24,75.35,37.465,7.58,27.195,4.7
2.2,5.145,74.3,37.905,7.57,27.37,4.7
2.1,5.04,73.25,38.725,7.585,27.535,5.6
2.15,4.915,72.1,39.88,7.59,27.81,5.2
1.65,4.915,72.5,40.33,7.6,28.045,5.2
2.1,4.995,73.9,41.06,7.635,28.055,5.25
2.1,5.065,75,40.845,7.625,28.23,5.85
2.3,5.21,77.25,40.41,7.62,28.36,6.1
2.65,5.37,79.75,39.85,7.63,28.565,6.4
3.95,5.68,84.15,38.945,7.65,28.665,6.95
4.75,5.985,88.45,38.07,7.665,28.68,6.2
5.5,6.27,92.15,37.305,7.68,28.53,5.5
5.2,6.305,92.3,37.315,7.69,28.3,4.65
5.55,6.055,88.85,37.975,7.665,28.27,4.6
5.9,5.82,85.45,38.67,7.665,28.12,4.05
4.75,5.435,80,40.06,7.64,27.995,4.6
4,5.215,76.85,40.495,7.62,27.885,4.95
3.5,5.155,75.9,41.22,7.64,27.76,4.35
3.35,5.085,74.8,41.235,7.63,27.67,4.75
2.45,5.075,74.45,40.775,7.625,27.645,5.4
2.9,5.035,73.8,40.295,7.615,27.65,5.55
1.9,5.055,73.7,39.515,7.585,27.56,5.8
2.6,5.065,73.6,38.89,7.57,27.515,5.9
2.1,5.095,73.8,38.27,7.56,27.455,4.9
1.55,5.08,73.45,38,7.555,27.365,4.65
1.75,5.035,73.15,38.48,7.565,27.58,4.5
2.15,5.08,74.05,38.82,7.565,27.68,3.6
2.45,5.035,73.65,39.515,7.58,27.745,3.75
1.75,5.075,74.65,40.19,7.6,27.89,4.35
2.35,5.005,73.6,40.78,7.61,27.795,4
2.1,4.98,73.5,41.28,7.605,27.83,4.35
2.4,5.125,75.65,40.95,7.62,27.955,4.4
2.5,5.115,75.6,40.505,7.61,28.09,5.2
3.45,5.215,76.95,39.635,7.6,28.19,5.7
3.35,5.32,78.25,38.865,7.595,28.225,4.95
3.55,5.445,79.65,38,7.585,28.095,4.7
3.95,5.465,79.6,37.795,7.59,27.9,4.15
3.9,5.355,78.05,38.18,7.58,27.835,5
4.55,5.22,76.25,38.82,7.575,27.81,4.75
3.4,5.2,76.1,39.755,7.595,27.73,4.25
3.35,5.015,73.55,40.65,7.595,27.605,4.35
2.65,4.92,72.15,41.13,7.605,27.505,4.35
3.05,4.93,72.3,41.525,7.62,27.395,4.1
2.3,4.935,72.2,41.285,7.61,27.33,4.85
2.4,4.885,71.25,40.99,7.595,27.29,5.05
1.95,4.845,70.65,40.43,7.585,27.28,5.15
1.6,4.84,70.2,39.68,7.565,27.18,5.45
1.55,4.815,69.55,39.12,7.545,27.055,4.85
1.95,4.805,69.15,38.66,7.54,26.92,4.15
1.2,4.815,69.3,38.645,7.55,27.02,3.7
1.5,4.765,69.15,39.28,7.54,27.275,3.95
1.6,4.9,71.55,39.44,7.565,27.63,3.45
1.35,4.875,71.5,40.125,7.565,27.73,4.4
1.9,4.88,71.9,40.4,7.575,27.98,4.55
2.85,4.96,72.95,40.625,7.59,27.85,3.25
2.2,5.155,75.95,41.205,7.62,27.8,3.8
2.6,5.13,75.65,41.03,7.62,27.88,4.35
2.05,5.085,74.9,40.575,7.6,27.915,5
3.95,5.14,75.5,39.765,7.59,27.925,4.7
4,5.215,76.1,38.845,7.575,27.84,4.65
4.5,5.17,75.2,38.355,7.56,27.68,4.65
4.05,5.155,74.9,38.345,7.57,27.585,4.35
4.1,5.055,73.75,39.145,7.565,27.665,4.65
3.85,5.065,73.65,39.265,7.57,27.445,3.7
3.35,5.01,73.2,40.54,7.585,27.395,3.8
2.95,4.915,71.85,41.305,7.605,27.305,3.35
2.9,4.92,71.9,41.305,7.6,27.23,3.45
2.7,4.94,72.15,41.415,7.61,27.16,3.5
2.1,4.875,71.05,41.32,7.6,27.08,4.1
